40,50
26,43
3,9
25,63
4,14
25,22
13,35
52,8
24,18
25,21
48,18
46,6
25,54
44,23
9,8
26,19
9,52
35,2
52,14
36,38
32,49
18,9
46,34
13,12
3,54
58,2
5,57
21,35
29,53
27,40
43,11
38,9
42,6
50,49
5,22
11,38
28,14
58,55
56,41
34,6
20,63
46,38
22,52
26,37
28,59
45,4
18,35
33,47
13,34
7,25
46,34
64,53
34,31
26,62
55,17
42,56
2,16
4,59
31,16
1,45
5,22
59,9
44,17
10,51
31,51
55,54
35,13
16,30
32,9
40,62
15,32
51,34
1,15
57,24
24,15
53,35
8,24
31,8
34,25
42,15
28,35
54,35
7,7
29,5
47,55
43,3
52,19
37,39
7,8
48,20
10,18
9,20
16,18
57,38
16,53
49,1
56,12
26,47
27,44
24,25
13,16
35,61
13,56
32,2
46,38
18,52
18,59
63,4
49,34
42,50
56,13
12,25
48,64
51,52
13,46
9,17
31,9
28,46
16,48
50,50
1,32
24,51
20,31
53,5
50,28
21,23
41,30
44,2
20,52
52,63
28,40
26,5
58,24
23,37
2,58
54,22
41,49
61,22
25,41
15,31
25,37
59,46
41,30
61,26
51,20
2,10
58,12
16,32
38,11
50,41
6,57
55,47
25,29
11,46
9,43
28,46
38,1
27,27
30,16
39,39
4,26
30,48
41,59
10,6
32,61
46,26
30,57
31,17
39,33
4,60
41,51
4,51
52,23
33,31
12,10
26,3
58,17
51,35
14,58
2,56
52,55
54,20
28,56
36,22
36,8
58,64
5,2
27,4
31,11
49,13
46,52
50,17
47,64
33,44
13,9
6,43
44,53
23,63
61,8
9,15
14,15
10,36
39,40
24,19
41,36
51,60
14,47
51,28
63,22
57,13
21,31
49,20
9,9
23,32
53,24
48,34
6,9
3,43
2,30
25,50
29,24
5,54
9,15
45,28
58,64
43,11
11,18
58,30
49,7
44,17
12,14
47,17
32,24
44,28
15,10
34,62
53,19
12,7
6,46
61,8
56,63
26,2
46,14
63,5
9,21
11,25
25,5
29,52
41,60
11,54
44,9
28,32
17,16
46,54
17,17
39,62
28,39
16,12
27,46
64,52
12,44
35,29
15,52
45,42
26,22
64,21
13,9
42,24
63,17
18,38
38,33
8,18
10,52
1,25
6,1
8,62
61,47
41,27
60,41
57,40
59,11
52,9
63,23
15,10
64,2
27,55
50,7
13,38
19,8
9,59
13,13
56,12
49,18
36,21
41,21
22,36
38,23
16,1
7,28
62,52
64,20
30,60
26,29
28,30
38,18
47,50
25,34
55,50
15,15
40,19
17,58
24,49
16,45
8,4
12,52
41,21
6,9
55,12
40,8
6,57
6,2
36,16
56,59
31,32
21,64
40,30
32,44
29,62
34,23
19,27
56,17
57,46
55,58
10,45
42,26
12,39
24,54
13,17
43,6
16,37
16,2
42,9
59,14
14,21
12,51
55,52
30,1
54,4
25,5
40,23
33,57
35,48
48,19
56,15
28,34
28,1
7,56
47,27
64,62
6,56
64,64
9,41
12,28
32,59
13,20
10,50
33,34
43,20
57,34
60,35
40,25
19,60
39,43
5,11
21,14
2,56
20,57
42,15
42,6
22,11
37,37
15,48
56,26
47,3
