40,114
90,43
3,73
89,127
68,78
25,86
13,99
52,72
24,18
25,85
48,18
46,6
89,118
108,87
9,8
26,19
73,52
99,66
116,14
36,102
96,49
82,73
110,98
13,76
3,54
58,2
5,57
21,35
29,53
91,104
43,75
102,73
106,70
114,49
69,22
11,102
28,78
58,119
120,105
34,6
84,127
110,38
86,116
90,101
92,123
109,68
82,99
33,47
13,98
7,25
110,98
128,53
34,31
26,126
55,81
106,56
2,16
68,59
31,16
65,45
69,86
123,73
44,81
74,51
95,51
119,54
99,77
80,94
32,9
104,62
79,32
115,98
1,15
121,24
24,15
53,99
8,88
95,72
34,89
42,15
92,35
118,99
71,7
29,69
47,55
43,3
116,19
101,103
7,8
112,84
10,82
9,84
80,82
121,102
16,53
113,1
56,76
26,111
27,108
88,25
77,80
35,125
13,56
96,66
46,38
82,52
82,59
63,4
113,34
106,50
56,13
76,89
48,128
115,52
13,110
73,81
31,73
28,46
80,48
114,114
1,96
88,115
84,31
117,69
114,28
21,23
105,30
44,2
20,52
116,127
28,40
90,69
58,88
23,101
66,58
54,22
105,113
61,22
89,105
79,31
25,101
123,46
105,94
125,90
51,20
2,10
58,12
16,32
102,75
114,105
6,121
55,47
25,93
75,46
73,107
92,110
38,1
27,27
30,80
39,39
68,26
94,48
105,59
10,70
32,61
110,26
30,57
95,17
103,97
68,124
105,115
68,115
52,23
97,95
12,74
90,3
58,17
51,99
78,58
66,120
116,119
118,84
92,56
36,86
36,8
122,128
69,2
27,4
95,75
113,77
110,52
114,17
111,128
33,108
13,9
6,43
108,117
23,63
125,72
9,79
14,79
10,36
103,104
24,19
41,36
51,60
78,111
51,28
63,22
57,13
85,31
113,20
9,9
23,32
117,88
48,98
6,9
3,107
66,30
89,50
29,24
5,54
73,79
109,92
58,64
107,11
75,18
58,30
113,7
108,81
12,14
111,81
32,88
108,28
79,10
34,126
117,19
76,71
6,46
125,8
120,63
90,2
110,14
127,5
9,85
75,25
89,5
93,52
41,60
11,118
44,9
28,96
81,16
46,54
17,17
103,62
28,103
80,12
91,46
64,52
76,108
99,29
15,52
109,42
90,86
64,21
77,9
106,88
127,81
82,102
102,97
8,82
10,52
65,25
6,1
72,62
61,47
105,27
60,105
57,104
123,11
52,73
127,23
15,74
64,2
91,55
114,7
13,38
83,72
9,123
77,13
120,12
113,82
36,21
41,85
22,100
102,23
80,65
7,28
62,116
128,84
94,60
90,29
92,94
38,18
111,50
89,98
119,50
79,15
104,83
81,58
88,113
80,109
8,4
76,116
41,85
6,9
55,12
40,72
70,121
6,66
100,80
56,59
95,96
21,128
104,30
32,108
